CODIGO,CAT,Mun_Cod,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,VARIABLE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
47060010,PM,El Encanto - 47060010,Encanto El,El Encanto,Amazonas,120,ppt,210.7,230.2,303.3,341.6,333.1,293.7,250.4,229.1,183.3,197.4,256.3,236.2,2992.2
47040050,PM,El Encanto - 47040050,San Agustin,El Encanto,Amazonas,125,ppt,246.8,233.6,325.2,364.3,378.1,354.4,320.5,260.5,280.5,283,302,293.4,3620.8
44130040,PM,La Chorrera - 44130040,Monos Los,La Chorrera,Amazonas,137,ppt,158.1,198.4,273.8,346.2,416.8,389.6,321.8,278.4,253.2,269.1,251.3,212,3337.5
44130030,PM,La Chorrera - 44130030,Pto Belen,La Chorrera,Amazonas,143,ppt,151.1,191.8,250.4,334.7,437.4,414.7,371,253.4,238.7,241.9,227.9,159,3271.9
44180030,PM,La Pedrera - 44180030,Bacuri,La Pedrera,Amazonas,101,ppt,339.5,284.8,359,378.3,375.6,313.1,257,258.6,217.7,287,300.8,327.8,3628.7
44150040,PM,La Pedrera - 44150040,Manacaro,La Pedrera,Amazonas,109,ppt,297.6,299.7,360.9,390.2,351.3,364.8,288.5,238.6,216.2,255.5,294.1,284.7,3632
44180020,PM,La Pedrera - 44180020,Pedrera La,La Pedrera,Amazonas,102,ppt,316.3,270.4,423.8,398.9,426.4,359.9,335.7,293.3,253.9,250.2,304.1,301.2,3772.3
44180010,PM,La Pedrera - 44180010,Pto Cordoba,La Pedrera,Amazonas,104,ppt,345.3,289.4,346.8,360.5,401,367.4,346.2,267.9,245.4,280.9,312.1,307.3,3856.7
48015010,SP,Leticia - 48015010,A.Vasquez Cobo,Leticia,Amazonas,84,ppt,366.8,354.6,357.9,376.4,301.9,189.8,158.1,157.9,220.8,257.3,317.5,330.1,3389.1
44150030,PM,Miriti - Parana - 44150030,Maria Manteca,Miriti - Parana,Amazonas,114,ppt,324.1,343.2,362.9,488.1,437.1,413.5,295.4,227.9,257,278.5,302.5,358.4,4088.5
44150020,PM,Miriti - Parana - 44150020,Miranas Las,Miriti - Parana,Amazonas,116,ppt,249.8,318.7,341.4,411.5,389.8,328.2,284.6,225,266,291.4,288.8,305.9,3701
47040030,PM,Puerto Alegria - 47040030,Pto Toloza,Puerto Alegria,Amazonas,135,ppt,188.6,256.1,314.7,376.3,398.7,362.5,337.5,276.2,281.6,262.6,263.3,273,3591.1
47040020,PM,Puerto Alegria - 47040020,Refugio El,Puerto Alegria,Amazonas,140,ppt,110,190.6,213.3,347.5,322.9,372.4,305.9,260.5,217.4,234.4,228.1,152.7,2955.5
47040040,PM,Puerto Alegria - 47040040,Remolino,Puerto Alegria,Amazonas,130,ppt,252.1,248.8,334.1,430.4,466.8,371.8,315.7,313.3,258.3,283.6,305,276.9,3691.1
47060020,PM,Puerto Arica - 47060020,Estrecho-Marandua,Puerto Arica,Amazonas,93,ppt,269.9,276.3,355.9,430.7,254.8,205.4,221.8,144.6,159.3,204.2,224.6,248.7,2776.3
48010020,PM,Puerto Narino - 48010020,Pto Narino,Puerto Narino,Amazonas,93,ppt,349.7,304,300.9,323.8,290.7,250.6,151.8,138.3,193.2,203.1,193.2,349.2,3013.6
44150010,PM,Puerto Santander - 44150010,Aguazul,Puerto Santander,Amazonas,129,ppt,213.2,250,359.3,399.5,420.8,419.7,326.5,310.5,274.4,241.4,278.1,246.8,3620.9
44130060,PM,Puerto Santander - 44130060,Angosturas,Puerto Santander,Amazonas,134,ppt,209.8,232,423.2,455.4,494.3,458.5,443.3,376.9,350.2,349.7,317.2,309.4,4243.1
44130070,PM,Puerto Santander - 44130070,Monochoa,Puerto Santander,Amazonas,133,ppt,149.7,226,300.6,436,442.2,402.1,377.2,297.4,285.3,287.3,262.4,224,3690.2
44160020,PM,Puerto Santander - 44160020,Sta Isabel,Puerto Santander,Amazonas,118,ppt,270.9,311.6,391.3,445,424.8,398.7,301.4,244.3,252.3,267,255,282.4,3790.1
26180160,PM,Abejorral - 26180160,Abejorral,Abejorral,Antioquia,2190,ppt,90.6,95,151.5,189.8,220.5,142.9,120.5,145.9,215.3,277.8,240.8,151.6,2042.3
11110020,PG,Abriaqui - 11110020,Abriaqui,Abriaqui,Antioquia,1920,ppt,92.4,108.7,151.1,240.9,261.9,187.4,141.5,160.8,218.1,270,235,153.8,2221.5
23085030,CO,Alejandria - 23085030,Alejandria,Alejandria,Antioquia,1660,ppt,178.6,193,302.1,439.6,505.6,433.3,400.4,447.7,568.9,545.6,348.6,216,4579.2
27010850,PM,Amalfi - 27010850,Amalfi,Amalfi,Antioquia,1530,ppt,77.3,102.4,153.2,299.9,308.3,236.3,244.2,257.1,297.5,361.3,234.4,116.8,2688.6
27010890,PM,Amalfi - 27010890,Cueva Santa,Amalfi,Antioquia,1550,ppt,58.7,124,179.9,336.7,340.5,310,291.5,328.5,330.7,367.5,255.2,106,3015.8
27010960,PM,Amalfi - 27010960,Monos Hda,Amalfi,Antioquia,1100,ppt,61.7,128.2,160.5,298.7,388.8,348.7,375,321.6,371.3,350,239.4,92.8,3136.5
26190120,PM,Andes - 26190120,Campamento,Andes,Antioquia,1250,ppt,94.6,89.9,175.3,258.9,262.4,212.3,189.5,200.9,256.3,247,202.1,102.7,2279.2
26195020,CO,Andes - 26195020,Ita Andes,Andes,Antioquia,1180,ppt,82.5,99.4,165.1,228.6,248.2,193.8,183.5,178.9,226.1,212.4,188.4,129.6,2136.4
26190100,PM,Andes - 26190100,Sta Barbara,Andes,Antioquia,1507,ppt,114.2,136.6,173.9,247.8,262.6,207,195,195.9,226.5,260.3,198.5,161.6,2379.8
27020210,PM,Angostura - 27020210,Angostura,Angostura,Antioquia,1650,ppt,50.8,93.7,118.2,255.4,414.6,371.1,347.1,334.3,329.2,310.3,213.7,103.3,2941.6
27025030,CO,Anori - 27025030,Anori,Anori,Antioquia,1610,ppt,58.3,111.5,156.3,270.8,320.7,296.9,313.3,318.4,327.6,314.8,229.9,119.9,2838.5
27020170,PM,Anori - 27020170,Carmen El Hda,Anori,Antioquia,950,ppt,95.7,145.5,237.8,359.9,466.3,427.2,437.4,439.9,459.5,470.8,300.6,158.6,3999.2
26210090,PM,Anza - 26210090,Anza,Anza,Antioquia,710,ppt,48.6,63.7,90.6,152,193.5,184.9,148,155.5,178.4,207.5,157.2,72.1,1652.1
12010070,PM,Apartado - 12010070,Casco El,Apartado,Antioquia,10,ppt,96.7,84.3,96,229,340.2,271.2,240.9,256.7,252.1,288,262.8,199.5,2617.3
12010060,PM,Apartado - 12010060,Lorena La,Apartado,Antioquia,31,ppt,124.1,98.9,116.2,248.3,330.3,252.1,261.3,229.1,228.4,264.1,268.7,196,2614.3
12015020,AM,Apartado - 12015020,Uniban,Apartado,Antioquia,23,ppt,94.7,81.7,98.8,254.2,330.7,285.3,255,251.8,283.7,310,291.1,207.3,2744.1
12045010,CP,Arboletes - 12045010,Arboletes,Arboletes,Antioquia,4,ppt,15.4,16.8,41.6,127.4,251.1,191.7,202.1,226.1,187.8,206.9,183.8,80,1711
12030020,PM,Arboletes - 12030020,Carmelo El,Arboletes,Antioquia,50,ppt,22.8,24.2,52.6,135.2,191.2,153.8,148.1,175.9,173,150.4,131.7,71.7,1414.8
23055070,ME,Argelia - 23055070,Argelia,Argelia,Antioquia,1669,ppt,365.9,400,512.6,484.8,477.7,330,332.5,324.1,461.4,555.4,564.9,494.4,5303.9
26200140,PM,Armenia - 26200140,Armenia,Armenia,Antioquia,1619,ppt,76.7,95.3,159.8,207.5,276.5,209.8,189.1,194.2,247.8,259.3,204.2,112,2232.3
27015150,CO,Barbosa - 27015150,Progreso El Hda,Barbosa,Antioquia,1500,ppt,57.5,80.1,113.2,188.6,246.8,199.1,207.6,202.3,234.2,235.4,155,83.3,2003
27010800,PM,Bello - 27010800,Meseta La Sn Pedro,Bello,Antioquia,2600,ppt,46.3,53.7,82.8,144.2,177.1,145.1,132.7,129.1,166.9,197.7,150.5,82.7,1508.8
27015090,CO,Bello - 27015090,Tulio Ospina,Bello,Antioquia,1438,ppt,38.1,53,99.6,161,197.4,139.5,120.9,127.1,174.4,215.6,136.5,79.4,1542.4
27010870,PM,Belmira - 27010870,Belmira,Belmira,Antioquia,2540,ppt,89.5,114.3,175.2,231.6,262,165.6,154.1,153.1,210.4,248.3,209.6,134.1,2147.7
26230220,PM,Belmira - 26230220,Oculta La,Belmira,Antioquia,2300,ppt,93.2,99.9,187.7,254.7,265.8,182.8,179.1,172.4,224.5,277.6,229.9,154.6,2322.3
26190090,PM,Betania - 26190090,Betania-Las Guacas,Betania,Antioquia,1580,ppt,124.5,148.2,198.2,291.8,318.2,227.1,219.3,234.7,265.4,307.2,240.9,161.8,2737.3
26210140,PM,Betulia - 26210140,Altamira,Betulia,Antioquia,1792,ppt,66.3,101.1,142.4,204.6,241.7,182.2,187.9,166.6,224.7,233.3,200.7,109.9,2061.5
26230160,PG,Bricenio - 26230160,Briceno,Brice¤o,Antioquia,1440,ppt,162.3,245.4,297.1,576.5,776.8,732.9,791.8,752.7,684.4,723.4,511.5,273.9,6455.5
26225040,CO,Buritica - 26225040,Piunti Hda,Buritica,Antioquia,1650,ppt,28.6,38.4,70.8,155.8,192.8,138.7,120.1,144.8,182.6,189,130.7,65.4,1457.6
