COD_DPTO_MUN;Codigo_dep;Nombre_Dep;Codigo_Mun;Municipio;CODIGO;Tien_clim;Tipo
05_001;05;ANTIOQUIA;001;MEDELLIN;26205080;1;ME
05_002;05;ANTIOQUIA;002;ABEJORRAL;26180160;1;PM
05_004;05;ANTIOQUIA;004;ABRIAQUI;11110020;1;PG
05_021;05;ANTIOQUIA;021;ALEJANDRIA;23085030;1;CO
05_030;05;ANTIOQUIA;030;AMAGA;-999;-999;-999
05_031;05;ANTIOQUIA;031;AMALFI;27010850;1;PM
05_034;05;ANTIOQUIA;034;ANDES;26195020;1;CO
05_036;05;ANTIOQUIA;036;ANGELOPOLIS;-999;-999;-999
05_038;05;ANTIOQUIA;038;ANGOSTURA;27020210;1;PM
05_040;05;ANTIOQUIA;040;ANORI;27025030;1;CO
05_042;05;ANTIOQUIA;042;SANTAFE_DE_ANTIOQUIA;26210130;1;PM
05_044;05;ANTIOQUIA;044;ANZA;26210090;1;PM
05_045;05;ANTIOQUIA;045;APARTADO;12015020;1;AM
05_051;05;ANTIOQUIA;051;ARBOLETES;12045010;1;CP
05_055;05;ANTIOQUIA;055;ARGELIA;23055070;1;ME
05_059;05;ANTIOQUIA;059;ARMENIA;26200140;1;PM
05_079;05;ANTIOQUIA;079;BARBOSA;27015150;1;CO
05_086;05;ANTIOQUIA;086;BELMIRA;26230220;1;PM
05_088;05;ANTIOQUIA;088;BELLO;27015090;1;CO
05_091;05;ANTIOQUIA;091;BETANIA;26190090;1;PM
05_093;05;ANTIOQUIA;093;BETULIA;26210140;1;PM
05_101;05;ANTIOQUIA;101;CIUDAD_BOLIVAR;11025010;1;CO
05_107;05;ANTIOQUIA;107;BRICENO;26230160;1;PG
05_113;05;ANTIOQUIA;113;BURITICA;26225040;1;CO
05_120;05;ANTIOQUIA;120;CACERES;26240060;1;PM
05_125;05;ANTIOQUIA;125;CAICEDO;26210070;1;PM
05_129;05;ANTIOQUIA;129;CALDAS;27015260;1;AM
05_134;05;ANTIOQUIA;134;CAMPAMENTO;27027080;0;LM
05_138;05;ANTIOQUIA;138;CANASGORDAS;11115020;1;CO
05_142;05;ANTIOQUIA;142;CARACOLI;-999;-999;-999
05_145;05;ANTIOQUIA;145;CARAMANTA;26170180;1;PM
05_147;05;ANTIOQUIA;147;CAREPA;12015070;1;SP
05_148;05;ANTIOQUIA;148;EL_CARMEN_DE_VIBORAL;-999;-999;-999
05_150;05;ANTIOQUIA;150;CAROLINA;23080680;0;PM
05_154;05;ANTIOQUIA;154;CAUCASIA;27045020;1;CO
05_172;05;ANTIOQUIA;172;CHIGORODO;12010030;1;PM
05_190;05;ANTIOQUIA;190;CISNEROS;-999;-999;-999
05_197;05;ANTIOQUIA;197;COCORNA;23087200;0;LG
05_206;05;ANTIOQUIA;206;CONCEPCION;23087180;0;LG
05_209;05;ANTIOQUIA;209;CONCORDIA;26215010;1;CO
05_212;05;ANTIOQUIA;212;COPACABANA;-999;-999;-999
05_234;05;ANTIOQUIA;234;DABEIBA;11117050;0;LM
05_237;05;ANTIOQUIA;237;DON_MATIAS;-999;-999;-999
05_240;05;ANTIOQUIA;240;EBEJICO;-999;-999;-999
05_250;05;ANTIOQUIA;250;EL_BAGRE;27035030;0;CO
05_264;05;ANTIOQUIA;264;ENTRERRIOS;27010830;1;PM
05_266;05;ANTIOQUIA;266;ENVIGADO;-999;-999;-999
05_282;05;ANTIOQUIA;282;FREDONIA;26175040;1;CO
05_284;05;ANTIOQUIA;284;FRONTINO;11115040;1;CO
05_306;05;ANTIOQUIA;306;GIRALDO;26220090;1;PM
05_308;05;ANTIOQUIA;308;GIRARDOTA;27010820;1;PM
05_310;05;ANTIOQUIA;310;GOMEZ_PLATA;27010900;1;PM
05_313;05;ANTIOQUIA;313;GRANADA;23080820;1;PM
